"cooc_method","Edge Betweenness Dir","EdgeBetweenness","interaction","interactionType","Label","method_number","method_scores","methodname_score","name","pval","qval","selected","shared interaction","shared name","weight"
"correl_pearson|dist_bray","4.0","54.33333333333334","","copresence","418->237","2","0.9902552046823967|0.07390877","","418->237","0.0","0.0","false","","418->237","2.0"
"correl_pearson|dist_bray","11.0","95.0","","copresence","418->246","2","0.01571111|0.9996018109030859","","418->246","0.0","0.0","false","","418->246","2.0"
"correl_pearson|dist_bray","5.0","29.04999999999999","","copresence","418->282","2","0.00451765|0.999966213907248","","418->282","0.0","0.0","false","","418->282","2.0"
"correl_pearson|dist_bray","9.0","84.83333333333336","","copresence","418->340","2","0.9994331371189759|0.01857638","","418->340","0.0","0.0","false","","418->340","2.0"
"correl_pearson|dist_bray","9.0","65.80000000000001","","copresence","315->282","2","0.07846154|0.9919679029687685","","315->282","0.0","0.0","false","","315->282","2.0"
"correl_pearson|dist_bray","2.0","19.5","","copresence","337->282","2","0.09366821|0.9871922827509427","","337->282","0.0","0.0","true","","337->282","2.0"
"correl_pearson|dist_bray","3.0","32.5","","copresence","337->340","2","0.0|0.08829072","","337->340","0.0","0.0","true","","337->340","2.0"
"correl_pearson|dist_bray","3.0","23.83333333333333","","copresence","337->356","2","0.0|0.00319463","","337->356","0.0","0.0","true","","337->356","2.0"
"correl_pearson|dist_bray","1.0","13.0","","copresence","337->378","2","0.0|0.02675649","","337->378","0.0","0.0","true","","337->378","2.0"
"correl_pearson|dist_bray","1.0","13.0","","copresence","337->423","2","0.0|0.04806849","","337->423","0.0","0.0","true","","337->423","2.0"
"correl_pearson|dist_bray","9.0","93.16666666666669","","copresence","337->395","2","0.0|0.03427584","","337->395","0.0","0.0","false","","337->395","2.0"
"correl_pearson|dist_bray","1.0","13.0","","copresence","337->315","2","0.04461844|0.9988930261316387","","337->315","0.0","0.0","true","","337->315","2.0"
"correl_pearson|dist_bray","1.0","12.0","","copresence","185->303","2","0.0|0.02098647","","185->303","0.0","0.0","true","","185->303","2.0"
"correl_pearson|dist_bray","8.0","48.13333333333334","","copresence","185->340","2","0.0|0.0648153","","185->340","0.0","0.0","false","","185->340","2.0"
"correl_pearson|dist_bray","9.0","80.0","","copresence","185->217","2","0.0|0.08721526","","185->217","0.0","0.0","false","","185->217","2.0"
"correl_pearson|dist_bray","5.0","38.79999999999999","","copresence","185->418","2","0.0|0.04623893","","185->418","0.0","0.0","false","","185->418","2.0"
"correl_pearson|dist_bray","5.0","25.633333333333336","","copresence","185->237","2","0.0|0.02766985","","185->237","0.0","0.0","false","","185->237","2.0"
"correl_pearson|dist_bray","1.0","10.0","","copresence","321->303","2","0.9993655742411013|0.01844702","","321->303","0.0","0.0","true","","321->303","2.0"
"correl_pearson|dist_bray","1.0","10.0","","copresence","321->282","2","0.04426073|0.9965713926078584","","321->282","0.0","0.0","true","","321->282","2.0"
"correl_pearson|dist_bray","3.0","23.333333333333325","","copresence","321->139","2","0.07044052|0.9904030378700632","","321->139","0.0","0.0","true","","321->139","2.0"
"correl_pearson|dist_bray","6.0","35.0","","copresence","321->418","2","0.0|0.04877838","","321->418","0.0","0.0","false","","321->418","2.0"
"correl_pearson|dist_bray","5.0","31.66666666666667","","copresence","321->185","2","0.9999882034641935|0.00253945","","321->185","0.0","0.0","false","","321->185","2.0"
"correl_pearson|dist_bray","6.0","29.0","","copresence","14->75","2","0.0|0.07713885","","14->75","0.0","0.0","false","","14->75","2.0"
"correl_pearson|dist_bray","3.0","15.0","","copresence","9->25","2","0.0|0.00475253","","9->25","0.0","0.0","true","","9->25","2.0"
"correl_pearson|dist_bray","2.0","10.0","","copresence","9->83","2","0.0|0.08460888","","9->83","0.0","0.0","true","","9->83","2.0"
"correl_pearson|dist_bray","2.0","10.0","","copresence","9->14","2","0.0|0.0826594","","9->14","0.0","0.0","true","","9->14","2.0"
