"abundance","ASV","ASVNumber","AverageShortestPathLength","BetweennessCentrality","Class","ClosenessCentrality","ClusteringCoefficient","degree","Eccentricity","EdgeCount","Genus","Indegree","IsSingleNode","Kingdom","Label","name","negdegree","NeighborhoodConnectivity","Order","oriID","Outdegree","PartnerOfMultiEdgedNodePairs","Phylum","posdegree","samplecount","selected","SelfLoops","shared name","Stress","unknowndegree"
"306.0","Beijerinckiaceae","095d4f88b91691c3e0dc2ed7b4054739","1.0","0.20833333333333331","Alphaproteobacteria","1.0","0.75","10","1","10","Beijerinckiaceae","2","false","Bacteria","11","11","0","5.0","Rhizobiales","11","8","5","Proteobacteria","10","2","false","0","11","10","0"
"10776.0","Gloniopsis","45e9dbeb4c6f81629d1d1310e078c05d","1.2","0.2583333333333333","Dothideomycetes","0.8333333333333334","0.7","10","2","10","Hysteriaceae","5","false","Fungi","364","364","0","5.0","Hysteriales","364","5","5","Ascomycota","10","2","false","0","364","12","0"
"466.0","Neofusicoccum","435ffff0e2360a02bef1e19e74f2a7a8","1.0","0.0","Dothideomycetes","1.0","0.0","2","1","2","Botryosphaeriaceae","1","false","Fungi","361","361","0","1.0","Botryosphaeriales","361","1","1","Ascomycota","2","2","false","0","361","0","0"
"573.0","Pestalotiopsis","ab03f1df554dd006f22f5064a432d046","1.0","0.0","Sordariomycetes","1.0","0.0","2","1","2","Sporocadaceae","1","false","Fungi","450","450","0","1.0","Xylariales","450","1","1","Ascomycota","2","3","false","0","450","0","0"
"986.0","Pestalotiopsis","764963d63e736561fbf3e7e7baceb754","1.25","1.0833333333333333","Sordariomycetes","0.8","0.5","6","2","6","Sporocadaceae","2","false","Fungi","412","412","0","3.3333333333333335","Xylariales","412","4","3","Ascomycota","6","5","false","0","412","13","0"
"467.0","Sphingomonas","a4bdc7ac623bd61af36a78c9b156dcea","1.25","0.0","Alphaproteobacteria","0.8","0.6666666666666666","6","2","6","Sphingomonadaceae","1","false","Bacteria","178","178","0","3.3333333333333335","Sphingomonadales","178","5","3","Proteobacteria","6","3","false","0","178","0","0"
"621.0","Capnodiales","f895b0acb109f5d3bc1adb5d0360213f","1.75","0.0","Dothideomycetes","0.5714285714285714","0.3333333333333333","6","3","6","Capnodiales","1","false","Fungi","509","509","0","4.333333333333333","Capnodiales","509","5","3","Ascomycota","6","2","false","0","509","0","0"
"673.0","Rhizobiales","e35dbd7c50f8902e535eefbb222eb7be","2.9285714285714284","3.3809523809523814","Alphaproteobacteria","0.34146341463414637","0.0","4","5","4","Rhizobiales","2","false","Bacteria","262","262","0","3.0","Rhizobiales","262","2","2","Proteobacteria","4","2","false","0","262","930","0"
"655.0","Sphingomonas","afa236a22e5809c2c31a1191dd542a8e","2.5714285714285716","4.1000000000000005","Alphaproteobacteria","0.38888888888888884","0.0","6","4","6","Sphingomonadaceae","2","false","Bacteria","194","194","0","2.3333333333333335","Sphingomonadales","194","4","3","Proteobacteria","6","2","false","0","194","1167","0"
"1410.0","Acidocella","ee48d02142e5a396241fb18b178dbf2a","2.5","4.133333333333334","Alphaproteobacteria","0.4","0.4166666666666667","8","5","8","Acetobacteraceae","5","false","Bacteria","278","278","0","4.5","Acetobacterales","278","3","4","Proteobacteria","8","2","false","0","278","1211","0"
"241.0","Devosia","1c2b8892a0d7f828d72808cd01cfd199","1.0","0.625","Alphaproteobacteria","1.0","0.7","10","1","10","Devosiaceae","3","false","Bacteria","25","25","0","5.0","Rhizobiales","25","7","5","Proteobacteria","10","2","false","0","25","19","0"
"488.0","Trichoderma","1622f266864a8b34e72b502f9d481f3a","1.0","0.0","Sordariomycetes","1.0","0.0","2","1","2","Hypocreaceae","1","false","Fungi","325","325","0","1.0","Hypocreales","325","1","1","Ascomycota","2","2","false","0","325","0","0"
"729.0","Xylaria","dbe220b0d61f2e09f9b6b8100c64bdac","1.0","0.0","Sordariomycetes","1.0","0.0","2","1","2","Xylariaceae","1","false","Fungi","484","484","0","1.0","Xylariales","484","1","1","Ascomycota","2","2","false","0","484","0","0"
"760.0","Microcera","cd5c89b1e01c2ee418445713c7ef2e1a","3.75","0.9777777777777779","Sordariomycetes","0.26666666666666666","0.0","4","6","4","Nectriaceae","3","false","Fungi","472","472","0","2.0","Hypocreales","472","1","2","Ascomycota","4","2","false","0","472","88","0"
"316.0","Acidiphilium","9da23eaf1c48813a2b7c04d9b43ceb74","2.875","1.2","Alphaproteobacteria","0.34782608695652173","0.16666666666666666","6","5","6","Acetobacteraceae","3","false","Bacteria","172","172","0","2.3333333333333335","Acetobacterales","172","3","3","Proteobacteria","6","3","false","0","172","108","0"
"1937.0","Beijerinckiaceae","054440c6f4abc75f0ee808fb39db2299","1.0","0.0","Alphaproteobacteria","1.0","0.0","2","1","2","Beijerinckiaceae","0","false","Bacteria","9","9","0","1.0","Rhizobiales","9","2","1","Proteobacteria","2","5","false","0","9","0","0"
"430.0","Actinoplanes","0292564bd1fbde11a44c980bcb6a78e0","0.0","0.0","Actinobacteria","0.0","0.0","2","0","2","Micromonosporaceae","2","false","Bacteria","5","5","0","1.0","Micromonosporales","5","0","1","Actinobacteriota","2","3","false","0","5","0","0"
"466.0","Enterobacterales","9290bf71801644ad69fa09e2d3051852","1.3333333333333333","0.0","Gammaproteobacteria","0.75","0.8333333333333334","6","2","6","Enterobacterales","3","false","Bacteria","155","155","0","3.0","Enterobacterales","155","3","3","Proteobacteria","6","2","false","0","155","0","0"
"741.0","Diplodia","5b457d5efc31c2922da5d5e9639606a6","2.5","1.2666666666666666","Dothideomycetes","0.4","0.16666666666666666","6","4","6","Botryosphaeriaceae","4","false","Fungi","384","384","0","2.6666666666666665","Botryosphaeriales","384","2","3","Ascomycota","6","3","false","0","384","114","0"
"342.0","Beijerinckiaceae","d4d337b9acbfb571b370e5bda73c9b63","1.25","0.22727272727272724","Alphaproteobacteria","0.8","0.5333333333333333","12","2","12","Beijerinckiaceae","2","false","Bacteria","240","240","0","5.166666666666667","Rhizobiales","240","10","6","Proteobacteria","12","2","false","0","240","61","0"
"636.0","Trichoderma","7b6ef155429b51d926b9d917a42c7568","1.75","0.0606060606060606","Sordariomycetes","0.5714285714285714","0.6","10","3","10","Hypocreaceae","5","false","Fungi","415","415","0","5.6","Hypocreales","415","5","5","Ascomycota","10","2","false","0","415","19","0"
"858.0","Cytospora","e8d13463a1a553bc0ca77cab33c0146b","4.733333333333333","0.0","Sordariomycetes","0.2112676056338028","0.5","6","8","6","Valsaceae","0","false","Fungi","494","494","0","3.0","Diaporthales","494","6","3","Ascomycota","6","2","false","0","494","0","0"
"608.0","Acetobacteraceae","fa5191f903af27e9d73679413d5dc55b","4.214285714285714","0.1142857142857143","Alphaproteobacteria","0.23728813559322035","0.5","6","7","6","Acetobacteraceae","3","false","Bacteria","292","292","0","3.3333333333333335","Acetobacterales","292","3","3","Proteobacteria","6","3","false","0","292","48","0"
"5299.0","Kineosporia","d0bd24da551a53d14c2d0c7ac2e00d04","1.4","0.0","Actinobacteria","0.7142857142857143","0.8","10","2","10","Kineosporiaceae","5","false","Bacteria","235","235","0","5.0","Kineosporiales","235","5","5","Actinobacteriota","10","3","false","0","235","0","0"
"9090.0","Cellulomonas","9cfb89b1a4f17a815dd1c36557343fde","1.6","0.13333333333333333","Actinobacteria","0.625","0.75","10","2","10","Cellulomonadaceae","8","false","Bacteria","169","169","0","5.0","Micrococcales","169","2","5","Actinobacteriota","10","4","false","0","169","7","0"
"456.0","Valsa","11b53c8766cf61e4a7d6925a9b3c6920","1.625","1.5892857142857144","Sordariomycetes","0.6153846153846154","0.5666666666666667","12","2","12","Valsaceae","9","false","Fungi","320","320","0","5.166666666666667","Diaporthales","320","3","6","Ascomycota","12","4","false","0","320","112","0"
"602.0","Ascomycota","8e47237dda4929c4b9babc1a1b65c74d","1.25","1.1742424242424239","Ascomycota","0.8","0.3","12","2","12","Ascomycota","4","false","Fungi","433","433","0","4.666666666666667","Ascomycota","433","8","6","Ascomycota","12","3","false","0","433","203","0"
"376.0","Beijerinckiaceae","e4a9c1dc7739105bfbd086ec4faf137a","2.125","0.0","Alphaproteobacteria","0.47058823529411764","1.0","4","3","4","Beijerinckiaceae","3","false","Bacteria","264","264","0","6.0","Rhizobiales","264","1","2","Proteobacteria","4","4","false","0","264","0","0"
"346.0","Caulobacteraceae","37ceb1ef59703bf6ff6eb686d0dc2dd7","1.0","0.0","Alphaproteobacteria","1.0","0.0","2","1","2","Caulobacteraceae","1","false","Bacteria","56","56","0","1.0","Caulobacterales","56","1","1","Proteobacteria","2","2","false","0","56","0","0"
"1645.0","Streptomyces","889f1bc31887efea2354ba099342a203","1.0","0.0","Actinobacteria","1.0","0.0","2","1","2","Streptomycetaceae","1","false","Bacteria","145","145","0","1.0","Streptomycetales","145","1","1","Actinobacteriota","2","3","false","0","145","0","0"
