"cooc_method","Edge Betweenness Dir","EdgeBetweenness","interaction","interactionType","Label","name","pval","qval","selected","shared interaction","shared name","weight"
"dist_bray","0.0","9.0","","copresence","25->235","25->235=dist_bray","NaN","NaN","false","","25->235=dist_bray","0.06334711"
"dist_bray","1.0","3.0","","copresence","25->169","25->169=dist_bray","NaN","NaN","false","","25->169=dist_bray","0.08918195"
"dist_bray","2.0","6.0","","copresence","25->364","25->364=dist_bray","NaN","NaN","false","","25->364=dist_bray","0.07401225"
"correl_pearson","4.0","9.0","","copresence","25->235","25->235=correl_pearson","0.0","0.0","false","","25->235=correl_pearson","0.0"
"correl_pearson","3.0","6.5","","copresence","25->11","25->11=correl_pearson","0.0","0.0","false","","25->11=correl_pearson","0.9968158781237579"
"dist_bray","0.0","511.0","","copresence","278->194","278->194=dist_bray","NaN","NaN","false","","278->194=dist_bray","0.09983758"
"correl_pearson","0.0","399.0","","copresence","278->36","278->36=correl_pearson","0.0","0.0","false","","278->36=correl_pearson","0.9926531898587514"
"dist_bray","176.0","399.0","","copresence","278->36","278->36=dist_bray","NaN","NaN","false","","278->36=dist_bray","0.08904881"
"correl_pearson","0.0","127.0","","copresence","194->193","194->193=correl_pearson","0.0","0.0","false","","194->193=correl_pearson","0.9979064399568499"
"correl_pearson","402.0","432.0","","copresence","194->278","194->278=correl_pearson","0.0","0.0","false","","194->278=correl_pearson","0.0"
"correl_pearson","0.0","400.0","","copresence","194->262","194->262=correl_pearson","0.0","0.0","false","","194->262=correl_pearson","0.0"
"dist_bray","78.0","127.0","","copresence","194->193","194->193=dist_bray","NaN","NaN","false","","194->193=dist_bray","0.06119403"
"correl_pearson","292.0","352.0","","copresence","262->252","262->252=correl_pearson","0.0","0.0","false","","262->252=correl_pearson","0.9870916976004763"
"dist_bray","330.0","470.0","","copresence","262->194","262->194=dist_bray","NaN","NaN","false","","262->194=dist_bray","0.09307759"
"dist_bray","19.0","11.666666666666664","","copresence","509->452","509->452=dist_bray","NaN","NaN","false","","509->452=dist_bray","0.03616072"
"correl_pearson","0.0","5.0","","copresence","509->381","509->381=correl_pearson","0.0","0.0","false","","509->381=correl_pearson","0.9958244623814573"
"dist_bray","2.0","5.0","","copresence","509->381","509->381=dist_bray","NaN","NaN","false","","509->381=dist_bray","0.09183673"
"correl_pearson","0.0","23.333333333333336","","copresence","509->297","509->297=correl_pearson","0.0","0.0","false","","509->297=correl_pearson","0.9916970608620893"
"dist_bray","24.0","23.333333333333336","","copresence","509->297","509->297=dist_bray","NaN","NaN","false","","509->297=dist_bray","0.08363228"
"dist_bray","0.0","5.0","","copresence","178->287","178->287=dist_bray","NaN","NaN","false","","178->287=dist_bray","0.03807791"
"dist_bray","0.0","10.0","","copresence","178->191","178->191=dist_bray","NaN","NaN","false","","178->191=dist_bray","0.04527378"
"correl_pearson","2.0","5.0","","copresence","178->287","178->287=correl_pearson","0.0","0.0","false","","178->287=correl_pearson","0.0"
"correl_pearson","1.0","5.0","","copresence","178->412","178->412=correl_pearson","0.0","0.0","false","","178->412=correl_pearson","0.0"
"correl_pearson","4.0","10.0","","copresence","178->191","178->191=correl_pearson","0.0","0.0","false","","178->191=correl_pearson","0.0"
"dist_bray","0.0","6.0","","copresence","412->191","412->191=dist_bray","NaN","NaN","false","","412->191=dist_bray","0.01622718"
"correl_pearson","1.0","1.0","","copresence","412->287","412->287=correl_pearson","0.0","0.0","false","","412->287=correl_pearson","0.9956054244536512"
"correl_pearson","8.0","6.0","","copresence","412->191","412->191=correl_pearson","0.0","0.0","false","","412->191=correl_pearson","0.9998442848026627"
"dist_bray","6.0","10.0","","copresence","412->178","412->178=dist_bray","NaN","NaN","false","","412->178=dist_bray","0.04063745"
"dist_bray","1.0","2.0","","copresence","450->361","450->361=dist_bray","NaN","NaN","false","","450->361=dist_bray","0.07657911"
"correl_pearson","1.0","1.0","","copresence","361->450","361->450=correl_pearson","0.0","0.0","false","","361->450=correl_pearson","0.0"
"correl_pearson","2.0","1.5","","copresence","364->289","364->289=correl_pearson","0.0","0.0","false","","364->289=correl_pearson","0.9997946073312138"
"dist_bray","2.0","3.5","","copresence","364->235","364->235=dist_bray","NaN","NaN","false","","364->235=dist_bray","0.01613787"
