	Kingdom	Phylum	Class	Order	Family	Genus	ASV	ASVNumber	Keystone
247	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Paraphaeosphaeria	5b78c6afbb59c0e02bddce4965cc74d6	247	NonKeystone
248	Fungi	Ascomycota	Sordariomycetes	Trichosphaeriales	Trichosphaeriaceae	Nigrospora	5d307388415b9fab3ecbef9d3d188913	248	NonKeystone
249	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Claviceps	5d52e596f701c0d7a345f67346ec7d46	249	NonKeystone
250	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Hannaella	5e142b60d88eaca1569c4efcb9302e5b	250	NonKeystone
251	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	5e5e52a6f5271a12ce9005e18fc0ef2f	251	NonKeystone
252	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	5e760419ae441b7b0e0629b62f000f9e	252	NonKeystone
253	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Paraphaeosphaeria	5ec7c71908e9ed0f394cfb7e9c061544	253	NonKeystone
254	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Periconiaceae	Periconia	5fbfbc68f75e86786f69fa2860e3deb8	254	NonKeystone
255	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Epicoccum	5fe5f08bf237874637a1235c88d32fb6	255	NonKeystone
256	Fungi	Ascomycota	Dothideomycetes	Dothideales	Aureobasidiaceae	Aureobasidium	6015f1974d168a36aa32798e12f72c57	256	NonKeystone
257	Fungi	Basidiomycota	Exobasidiomycetes	Microstromatales	Quambalariaceae	Quambalaria	610e947f8b18cdd8d9348138281e7096	257	NonKeystone
258	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Didymosphaeriaceae	617906066bf52caf109445c8ea9e7425	258	NonKeystone
259	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Diaporthaceae	Diaporthe	6242d3df412ba09ab59bf151f5a1248c	259	NonKeystone
260	Fungi	Ascomycota	Sordariomycetes	Xylariales	Microdochiaceae	Microdochium	62a862e5f36a215d63df1d18cfea9d6d	260	NonKeystone
261	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Sarocladium	62c51697f165c23db15278033df88b09	261	NonKeystone
262	Fungi	Ascomycota	Sordariomycetes	Trichosphaeriales	Trichosphaeriaceae	Nigrospora	62f142e0fd1bb438fac0bd13003c160f	262	NonKeystone
263	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Dioszegia	63315816bf55bcb7d6bf25bf176baec3	263	NonKeystone
264	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaetopsis	64190f323bd4b6d7dbdd8fb50eca6c66	264	NonKeystone
265	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Rhynchogastremataceae	Papiliotrema	6628cb565ce797328e76109591f1f27b	265	NonKeystone
266	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Trimorphomycetaceae	Saitozyma	687466c5de3b0b398cb82aa1b83d2042	266	NonKeystone
267	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	6a79b8c32b7928b4b9d3a498923a46a1	267	NonKeystone
268	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeosphaeriaceae	6bb056987ed67ff82f0b0d1a5b921b12	268	NonKeystone
269	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Didymellaceae	6be9e7e074699271c661b760ea420836	269	NonKeystone
270	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	6c619c81b007cb262180d54305f662bc	270	NonKeystone
271	Fungi	Ascomycota	Sordariomycetes	Xylariales	Sporocadaceae	Pestalotiopsis	6cbbdc1cd3b612a540aa26e23dd41f28	271	NonKeystone
272	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Pseudopithomyces	6cf39736ac1f676d72f985394c6685c6	272	NonKeystone
273	Fungi	Ascomycota	Sordariomycetes	Xylariales	Apiosporaceae	Arthrinium	6da9d806cdc896a9d344d5922797935a	273	NonKeystone
274	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales	Pleosporales	6ebcfc2e3e5fd6f83b4d7aeaf32d0d3a	274	NonKeystone
275	Fungi	Ascomycota	Sordariomycetes	Magnaporthales	Magnaporthaceae	Magnaporthe	704f14de64ae7fcf03dd36bd1f28ebd9	275	NonKeystone
276	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Teratosphaeriaceae	Devriesia	713ffd93cfa9a81d72a414ae7ba6d9c8	276	NonKeystone
277	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Diaporthaceae	Diaporthe	71e28f8d793ef478a80f79bd6b98dd8a	277	NonKeystone
