"cooc_method","Edge Betweenness Dir","EdgeBetweenness","interaction","interactionType","Label","method_number","method_scores","methodname_score","name","pval","qval","selected","shared interaction","shared name","weight"
"correl_pearson|dist_bray","19.0","276.0394736842107","","copresence","318->384","2","0.0|0.01028278","","318->384","0.0","0.0","false","","318->384","2.0"
"correl_pearson|dist_bray","9.0","106.3012820512821","","copresence","318->272","2","0.0|0.9999999999999976","","318->272","0.0","0.0","false","","318->272","2.0"
"correl_pearson|dist_bray","3.0","40.84285714285717","","copresence","318->408","2","0.0|0.01207729","","318->408","0.0","0.0","false","","318->408","2.0"
"correl_pearson|dist_bray","2.0","39.25","","copresence","318->427","2","0.0","","318->427","0.0","0.0","false","","318->427","2.0"
"correl_pearson|dist_bray","42.0","153.35901872704224","","copresence","318->430","2","0.0","","318->430","0.0","0.0","false","","318->430","2.0"
"correl_pearson|dist_bray","2.0","39.000000000000014","","copresence","318->432","2","0.0","","318->432","0.0","0.0","false","","318->432","2.0"
"correl_pearson|dist_bray","165.0","1016.297160672816","","copresence","318->433","2","0.0","","318->433","0.0","0.0","false","","318->433","2.0"
"correl_pearson|dist_bray","11.0","61.155775803144195","","copresence","318->468","2","0.0|0.08576998","","318->468","0.0","0.0","false","","318->468","2.0"
"correl_pearson|dist_bray","3.0","40.84285714285717","","copresence","318->469","2","0.0|0.00634249","","318->469","0.0","0.0","false","","318->469","2.0"
"correl_pearson|dist_bray","135.0","454.60676091361273","","copresence","318->476","2","0.0","","318->476","0.0","0.0","false","","318->476","2.0"
"correl_pearson|dist_bray","102.0","329.2153271483507","","copresence","318->480","2","0.0","","318->480","0.0","0.0","false","","318->480","2.0"
"correl_pearson|dist_bray","14.0","97.18073593073592","","copresence","318->482","2","0.0|0.08349146","","318->482","0.0","0.0","false","","318->482","2.0"
"correl_pearson|dist_bray","2.0","38.800000000000026","","copresence","318->483","2","0.0","","318->483","0.0","0.0","false","","318->483","2.0"
"correl_pearson|dist_bray","12.0","123.00396825396821","","copresence","318->487","2","0.0|0.01014199","","318->487","0.0","0.0","false","","318->487","2.0"
"correl_pearson|dist_bray","47.0","175.32800482865986","","copresence","318->491","2","0.0","","318->491","0.0","0.0","false","","318->491","2.0"
"correl_pearson|dist_bray","4.0","9.75","","copresence","268->407","2","0.0|0.04807896","","268->407","0.0","0.0","false","","268->407","2.0"
"correl_pearson|dist_bray","4.0","9.75","","copresence","268->481","2","0.0|0.0630491","","268->481","0.0","0.0","false","","268->481","2.0"
"correl_pearson|dist_bray","2.0","4.0","","copresence","292->303","2","0.0|0.02285714","","292->303","0.0","0.0","false","","292->303","2.0"
"correl_pearson|dist_bray","2.0","6.0","","copresence","238->292","2","0.0|0.08510176","","238->292","0.0","0.0","false","","238->292","2.0"
"correl_pearson|dist_bray","2.0","41.16666666666667","","copresence","495->408","2","0.9999252874878182|0.01207729","","495->408","0.0","0.0","false","","495->408","2.0"
"correl_pearson|dist_bray","3.0","53.83333333333331","","copresence","495->430","2","0.0|0.9999999999999968","","495->430","0.0","0.0","false","","495->430","2.0"
"correl_pearson|dist_bray","53.0","442.89651459651475","","copresence","495->463","2","0.0|0.9999999999999987","","495->463","0.0","0.0","false","","495->463","2.0"
"correl_pearson|dist_bray","2.0","41.16666666666667","","copresence","495->468","2","0.08576998|0.9956095562401877","","495->468","0.0","0.0","false","","495->468","2.0"
"correl_pearson|dist_bray","2.0","41.16666666666667","","copresence","495->469","2","0.9999796366801926|0.00634249","","495->469","0.0","0.0","false","","495->469","2.0"
"correl_pearson|dist_bray","2.0","40.30769230769233","","copresence","495->474","2","0.0|0.9999999999999997","","495->474","0.0","0.0","false","","495->474","2.0"
"correl_pearson|dist_bray","10.0","150.81349206349194","","copresence","495->480","2","0.0|0.9999999999999968","","495->480","0.0","0.0","false","","495->480","2.0"
"correl_pearson|dist_bray","3.0","79.16666666666666","","copresence","495->482","2","0.9958594205794169|0.08349146","","495->482","0.0","0.0","false","","495->482","2.0"
"correl_pearson|dist_bray","2.0","40.142857142857146","","copresence","495->483","2","0.0|0.9999999999999983","","495->483","0.0","0.0","false","","495->483","2.0"
