abundance,AverageShortestPathLength,Betweenness Dir,BetweennessCentrality,Bridging Dir,Centroid Dir,Class,Closeness Dir,ClosenessCentrality,ClusteringCoefficient,degree,Eccentricity,EdgeCount,EigenVector Dir,Family,Genus,Indegree,Outdegree,Species,Kingdom,Label,MCODE::Clusters (1),MCODE::Node Status (1),MCODE::Score (1),name,negdegree,NeighborhoodConnectivity,Order,oriID,PartnerOfMultiEdgedNodePairs,phylum,posdegree,Radiality Dir,samplecount,selected,SelfLoops,shared name,Stress,unknowndegree
386,1,0,0,0,-2,Acidobacteriae,2,1,0.3333333333333333,3,1,3,4.182507246025541E-12,Acidobacteriaceae_(Subgroup_1),fb9e35ec89fe68edf8f07dac203b7ff8,1,2,183,Bacteria,183,,Unclustered,1.6666666666666667,183,0,5.333333333333333,Acidobacteriales,183,0,Acidobacteriota,3,6.622516556291391E-4,2,FALSE,0,183,0,0
555,1,0,0,0,-3,Sordariomycetes,3,1,0.3333333333333333,3,1,3,3.138756108594061E-12,Sporocadaceae,Pestalotiopsis,0,3,2e73da1d3e08b2e74d7cfe830f646187,Fungi,361,Cluster 7,Clustered,1.6666666666666667,361,0,2.3333333333333335,Xylariales,361,0,Ascomycota,3,6.626905235255136E-4,2,FALSE,0,361,0,0
682,1,0,0,0,-3,Dothideomycetes,3,1,0,3,1,3,1.4225443385650405E-12,Cladosporiaceae,Cladosporium,0,3,550215984abda5f59ef55299f115b31b,Fungi,400,,Unclustered,0.5,400,0,1.6666666666666667,Capnodiales,400,0,Ascomycota,3,6.626905235255136E-4,2,FALSE,0,400,0,0
632,1,0,0,0,-3,Dothideomycetes,3,1,0.3333333333333333,3,1,3,-5.46E-12,Pleosporaceae,Alternaria,0,3,dd42c2bbc27252c09c3007f0df8acdad,Fungi,501,Cluster 6,Clustered,1.6666666666666667,501,0,2.3333333333333335,Pleosporales,501,0,Ascomycota,3,6.626905235255136E-4,2,FALSE,0,501,0,0
282,0,0,0,0,0,Ascomycota,0,0,0.3333333333333333,3,0,3,5.9385001164457384E-27,Ascomycota,Ascomycota,3,0,fbe468846a1d8a98703d9d8fcdae8e80,Fungi,203,Cluster 7,Clustered,1.6666666666666667,203,0,2.3333333333333335,Ascomycota,203,0,Ascomycota,3,6.613756613756613E-4,2,FALSE,0,203,0,0
268,0,0,0,0,0,Ascomycota,0,0,0.5,3,0,3,-4.15E-26,Ascomycota,Ascomycota,3,0,de9cbe5dfcdd78e4b3e8f373d2aec1a9,Fungi,198,Cluster 4,Seed,3,198,0,5,Ascomycota,198,0,Ascomycota,3,6.613756613756613E-4,2,FALSE,0,198,0,0
144,2.25,2,0.55,0.7017543859649122,-4,Gammaproteobacteria,2.1666666666666665,0.4444444444444444,0.3333333333333333,3,3,3,-1.74E-13,Enterobacterales,Enterobacterales,2,1,3b94c19ef326eea0918e1c3d244c999c,Bacteria,39,,Unclustered,1.6666666666666667,39,0,3.6666666666666665,Enterobacterales,39,0,Proteobacteria,3,6.623247599072744E-4,2,FALSE,0,39,11,0
605,1,0,0,0,-2,Sordariomycetes,2,1,0.3333333333333333,3,1,3,1.2178687744900124E-26,Nectriaceae,Microcera,1,2,01039accf772656f599615591d92544d,Fungi,492,Cluster 6,Clustered,1.6666666666666667,492,0,2.3333333333333335,Hypocreales,492,0,Ascomycota,3,6.622516556291391E-4,2,FALSE,0,492,0,0
368,1.6666666666666667,0,0,0,-6,Eurotiomycetes,4.333333333333333,0.6,0.16666666666666666,3,3,3,-9.79E-13,Herpotrichiellaceae,Exophiala,0,3,27c944975899c87d097548c8c2f22eed,Fungi,251,,Unclustered,2,251,0,3.6666666666666665,Chaetothyriales,251,0,Ascomycota,3,6.632765863365023E-4,4,FALSE,0,251,0,0
373,2.3,0.9087301587301588,0.008124251,0.5541586986802653,-10,Ascomycota,5.333333333333333,0.4347826086956522,0.3333333333333333,3,4,3,-1.13E-14,Ascomycota,Ascomycota,1,2,b9e5b1eb692ab561ae816ddeb4a6bd0a,Fungi,307,,Unclustered,1.6666666666666667,307,0,29.333333333333332,Ascomycota,307,0,Ascomycota,3,6.63716814159292E-4,2,FALSE,0,307,251,0
