Sample_ID	PCR_Control	Extract_Control	Subset	Source	Site	Source_Site	Site_Source	Source_SiteType	SiteType_Site	Region	SiteType	Accession
S142_NSW1092617_FWD09	FALSE	FALSE	Sample	Themeda_triandra	Short_Point_Reserve_Merimbula	Themeda_triandra_Short_Point_Reserve_Merimbula	Short_Point_Reserve_Merimbula_Themeda_triandra	Themeda_triandra_Restored	Restored_Short_Point_Reserve_Merimbula	South_Coast	Restored	NSW1092617
S143_NSW1092622_FWD09	FALSE	FALSE	Sample	Themeda_triandra	Short_Point_Reserve_Merimbula	Themeda_triandra_Short_Point_Reserve_Merimbula	Short_Point_Reserve_Merimbula_Themeda_triandra	Themeda_triandra_Restored	Restored_Short_Point_Reserve_Merimbula	South_Coast	Restored	NSW1092622
S144_NSW1092627_FWD09	FALSE	FALSE	Sample	Themeda_triandra	Short_Point_Reserve_Merimbula	Themeda_triandra_Short_Point_Reserve_Merimbula	Short_Point_Reserve_Merimbula_Themeda_triandra	Themeda_triandra_Restored	Restored_Short_Point_Reserve_Merimbula	South_Coast	Restored	NSW1092627
S145_NSW1092632_FWD09	FALSE	FALSE	Sample	Themeda_triandra	Short_Point_Reserve_Merimbula	Themeda_triandra_Short_Point_Reserve_Merimbula	Short_Point_Reserve_Merimbula_Themeda_triandra	Themeda_triandra_Restored	Restored_Short_Point_Reserve_Merimbula	South_Coast	Restored	NSW1092632
S146_NSW1092637_FWD09	FALSE	FALSE	Sample	Themeda_triandra	Short_Point_Reserve_Merimbula	Themeda_triandra_Short_Point_Reserve_Merimbula	Short_Point_Reserve_Merimbula_Themeda_triandra	Themeda_triandra_Restored	Restored_Short_Point_Reserve_Merimbula	South_Coast	Restored	NSW1092637
S147_NSW1092881_FWD09	FALSE	FALSE	Sample	Themeda_triandra	Duesburys_Point_Dalmeny	Themeda_triandra_Duesburys_Point_Dalmeny	Duesburys_Point_Dalmeny_Themeda_triandra	Themeda_triandra_Natural	Natural_Duesburys_Point_Dalmeny	South_Coast	Natural	NSW1092881
S148_NSW1092886_FWD09	FALSE	FALSE	Sample	Themeda_triandra	Duesburys_Point_Dalmeny	Themeda_triandra_Duesburys_Point_Dalmeny	Duesburys_Point_Dalmeny_Themeda_triandra	Themeda_triandra_Natural	Natural_Duesburys_Point_Dalmeny	South_Coast	Natural	NSW1092886
S149_NSW1092891_FWD09	FALSE	FALSE	Sample	Themeda_triandra	Duesburys_Point_Dalmeny	Themeda_triandra_Duesburys_Point_Dalmeny	Duesburys_Point_Dalmeny_Themeda_triandra	Themeda_triandra_Natural	Natural_Duesburys_Point_Dalmeny	South_Coast	Natural	NSW1092891
S15_NSW1092567_FWD09	FALSE	FALSE	Sample	Microlaena_stipoides	Jervis_Bay_NP_Parnell_Road	Microlaena_stipoides_Jervis_Bay_NP_Parnell_Road	Jervis_Bay_NP_Parnell_Road_Microlaena_stipoides	Microlaena_stipoides_Natural	Natural_Jervis_Bay_NP_Parnell_Road	South_Coast	Natural	NSW1092567
S150_NSW1092901_FWD09	FALSE	FALSE	Sample	Themeda_triandra	Duesburys_Point_Dalmeny	Themeda_triandra_Duesburys_Point_Dalmeny	Duesburys_Point_Dalmeny_Themeda_triandra	Themeda_triandra_Natural	Natural_Duesburys_Point_Dalmeny	South_Coast	Natural	NSW1092901
S151_NSW1092906_FWD09	FALSE	FALSE	Sample	Themeda_triandra	Duesburys_Point_Dalmeny	Themeda_triandra_Duesburys_Point_Dalmeny	Duesburys_Point_Dalmeny_Themeda_triandra	Themeda_triandra_Natural	Natural_Duesburys_Point_Dalmeny	South_Coast	Natural	NSW1092906
S152_NSW1092926_FWD10	FALSE	FALSE	Sample	Themeda_triandra	Duesburys_Point_Dalmeny	Themeda_triandra_Duesburys_Point_Dalmeny	Duesburys_Point_Dalmeny_Themeda_triandra	Themeda_triandra_Natural	Natural_Duesburys_Point_Dalmeny	South_Coast	Natural	NSW1092926
S153_NSW1092931_FWD10	FALSE	FALSE	Sample	Themeda_triandra	Duesburys_Point_Dalmeny	Themeda_triandra_Duesburys_Point_Dalmeny	Duesburys_Point_Dalmeny_Themeda_triandra	Themeda_triandra_Natural	Natural_Duesburys_Point_Dalmeny	South_Coast	Natural	NSW1092931
S154_NSW1092536_FWD10	FALSE	FALSE	Sample	Themeda_triandra	Tathra_APZ_Panorama_Drive	Themeda_triandra_Tathra_APZ_Panorama_Drive	Tathra_APZ_Panorama_Drive_Themeda_triandra	Themeda_triandra_Restored	Restored_Tathra_APZ_Panorama_Drive	South_Coast	Restored	NSW1092536
S155_NSW1092613_FWD10	FALSE	FALSE	Sample	Themeda_triandra	Tathra_APZ_Panorama_Drive	Themeda_triandra_Tathra_APZ_Panorama_Drive	Tathra_APZ_Panorama_Drive_Themeda_triandra	Themeda_triandra_Restored	Restored_Tathra_APZ_Panorama_Drive	South_Coast	Restored	NSW1092613
S156_NSW1092623_FWD10	FALSE	FALSE	Sample	Themeda_triandra	Tathra_APZ_Panorama_Drive	Themeda_triandra_Tathra_APZ_Panorama_Drive	Tathra_APZ_Panorama_Drive_Themeda_triandra	Themeda_triandra_Restored	Restored_Tathra_APZ_Panorama_Drive	South_Coast	Restored	NSW1092623
S157_NSW1092629_FWD10	FALSE	FALSE	Sample	Themeda_triandra	Tathra_APZ_Panorama_Drive	Themeda_triandra_Tathra_APZ_Panorama_Drive	Tathra_APZ_Panorama_Drive_Themeda_triandra	Themeda_triandra_Restored	Restored_Tathra_APZ_Panorama_Drive	South_Coast	Restored	NSW1092629
S158_NSW1092630_FWD10	FALSE	FALSE	Sample	Themeda_triandra	Tathra_APZ_Panorama_Drive	Themeda_triandra_Tathra_APZ_Panorama_Drive	Tathra_APZ_Panorama_Drive_Themeda_triandra	Themeda_triandra_Restored	Restored_Tathra_APZ_Panorama_Drive	South_Coast	Restored	NSW1092630
