SampleID	PCR_Control	Extract_Control	Source	Site	Region	SiteType	Host_SiteType	Host_Region	SiteType_Site	Primer_with_WEHI_adapter	Index_PCR_Plate	Fwd_primer	FWDprimer	REVPrimer	Rev_Primer
S129_NSW1092552_FWD13	FALSE	FALSE	Themeda_triandra	Jervis_Bay_NP_Parnell_Road	South_Coast	Natural	Themeda_triandra_Natural	Themeda_triandra_South_Coast	Natural_Jervis_Bay_NP_Parnell_Road	515f/806r	Allison_Plate 1_Run3	Fwd_13	FWD13	REV04	Rev_04
S130_NSW1092547_FWD13	FALSE	FALSE	Themeda_triandra	Jervis_Bay_NP_Parnell_Road	South_Coast	Natural	Themeda_triandra_Natural	Themeda_triandra_South_Coast	Natural_Jervis_Bay_NP_Parnell_Road	515f/806r	Allison_Plate 1_Run3	Fwd_13	FWD13	REV05	Rev_05
S131_NSW1092541_FWD13	FALSE	FALSE	Themeda_triandra	Jervis_Bay_NP_Parnell_Road	South_Coast	Natural	Themeda_triandra_Natural	Themeda_triandra_South_Coast	Natural_Jervis_Bay_NP_Parnell_Road	515f/806r	Allison_Plate 1_Run3	Fwd_13	FWD13	REV06	Rev_06
S132_NSW1092596_FWD13	FALSE	FALSE	Themeda_triandra	Jervis_Bay_NP_Parnell_Road	South_Coast	Natural	Themeda_triandra_Natural	Themeda_triandra_South_Coast	Natural_Jervis_Bay_NP_Parnell_Road	515f/806r	Allison_Plate 1_Run3	Fwd_13	FWD13	REV07	Rev_07
S133_NSW1092671_FWD13	FALSE	FALSE	Microlaena_stipoides	Bournda_NP_North_Tura	South_Coast	Natural	Microlaena_stipoides_Natural	Microlaena_stipoides_South_Coast	Natural_Bournda_NP_North_Tura	515f/806r	Allison_Plate 1_Run3	Fwd_13	FWD13	REV08	Rev_08
S134_NSW1092666_FWD13	FALSE	FALSE	Microlaena_stipoides	Bournda_NP_North_Tura	South_Coast	Natural	Microlaena_stipoides_Natural	Microlaena_stipoides_South_Coast	Natural_Bournda_NP_North_Tura	515f/806r	Allison_Plate 1_Run3	Fwd_13	FWD13	REV09	Rev_09
S135_NSW1092661_FWD13	FALSE	FALSE	Microlaena_stipoides	Bournda_NP_North_Tura	South_Coast	Natural	Microlaena_stipoides_Natural	Microlaena_stipoides_South_Coast	Natural_Bournda_NP_North_Tura	515f/806r	Allison_Plate 1_Run3	Fwd_13	FWD13	REV10	Rev_10
S136_NSW1092656_FWD13	FALSE	FALSE	Microlaena_stipoides	Bournda_NP_North_Tura	South_Coast	Natural	Microlaena_stipoides_Natural	Microlaena_stipoides_South_Coast	Natural_Bournda_NP_North_Tura	515f/806r	Allison_Plate 1_Run3	Fwd_13	FWD13	REV11	Rev_11
S137_NSW1092651_FWD13	FALSE	FALSE	Microlaena_stipoides	Bournda_NP_North_Tura	South_Coast	Natural	Microlaena_stipoides_Natural	Microlaena_stipoides_South_Coast	Natural_Bournda_NP_North_Tura	515f/806r	Allison_Plate 1_Run3	Fwd_13	FWD13	REV12	Rev_12
S138_NSW1092646_FWD14	FALSE	FALSE	Microlaena_stipoides	Bournda_NP_North_Tura	South_Coast	Natural	Microlaena_stipoides_Natural	Microlaena_stipoides_South_Coast	Natural_Bournda_NP_North_Tura	515f/806r	Allison_Plate 1_Run3	Fwd_14	FWD14	REV01	Rev_01
S139_NSW1092641_FWD14	FALSE	FALSE	Microlaena_stipoides	Bournda_NP_North_Tura	South_Coast	Natural	Microlaena_stipoides_Natural	Microlaena_stipoides_South_Coast	Natural_Bournda_NP_North_Tura	515f/806r	Allison_Plate 1_Run3	Fwd_14	FWD14	REV02	Rev_02
S14_NSW1092582_FWD19	FALSE	FALSE	Microlaena_stipoides	Meroo_NP_Romney_Park_Road	South_Coast	Natural	Microlaena_stipoides_Natural	Microlaena_stipoides_South_Coast	Natural_Meroo_NP_Romney_Park_Road	515f/806r	Allison_Plate_4_Run2	Fwd_19	FWD19	REV14	Rev_14
S140_NSW1092472_FWD14	FALSE	FALSE	Themeda_triandra	Short_Point_Reserve_Merimbula	South_Coast	Restored	Themeda_triandra_Restored	Themeda_triandra_South_Coast	Restored_Short_Point_Reserve_Merimbula	515f/806r	Allison_Plate 1_Run3	Fwd_14	FWD14	REV03	Rev_03
S141_NSW1092621_FWD14	FALSE	FALSE	Themeda_triandra	Short_Point_Reserve_Merimbula	South_Coast	Restored	Themeda_triandra_Restored	Themeda_triandra_South_Coast	Restored_Short_Point_Reserve_Merimbula	515f/806r	Allison_Plate 1_Run3	Fwd_14	FWD14	REV04	Rev_04
S142_NSW1092617_FWD14	FALSE	FALSE	Themeda_triandra	Short_Point_Reserve_Merimbula	South_Coast	Restored	Themeda_triandra_Restored	Themeda_triandra_South_Coast	Restored_Short_Point_Reserve_Merimbula	515f/806r	Allison_Plate 1_Run3	Fwd_14	FWD14	REV05	Rev_05
S143_NSW1092622_FWD14	FALSE	FALSE	Themeda_triandra	Short_Point_Reserve_Merimbula	South_Coast	Restored	Themeda_triandra_Restored	Themeda_triandra_South_Coast	Restored_Short_Point_Reserve_Merimbula	515f/806r	Allison_Plate 1_Run3	Fwd_14	FWD14	REV06	Rev_06
S144_NSW1092627_FWD14	FALSE	FALSE	Themeda_triandra	Short_Point_Reserve_Merimbula	South_Coast	Restored	Themeda_triandra_Restored	Themeda_triandra_South_Coast	Restored_Short_Point_Reserve_Merimbula	515f/806r	Allison_Plate 1_Run3	Fwd_14	FWD14	REV07	Rev_07
S145_NSW1092632_FWD14	FALSE	FALSE	Themeda_triandra	Short_Point_Reserve_Merimbula	South_Coast	Restored	Themeda_triandra_Restored	Themeda_triandra_South_Coast	Restored_Short_Point_Reserve_Merimbula	515f/806r	Allison_Plate 1_Run3	Fwd_14	FWD14	REV08	Rev_08
S146_NSW1092637_FWD14	FALSE	FALSE	Themeda_triandra	Short_Point_Reserve_Merimbula	South_Coast	Restored	Themeda_triandra_Restored	Themeda_triandra_South_Coast	Restored_Short_Point_Reserve_Merimbula	515f/806r	Allison_Plate 1_Run3	Fwd_14	FWD14	REV09	Rev_09
