	Kingdom	Phylum	Class	Order	Family	Genus	ASV	ASVNumber
374	Fungi	Ascomycota	Sordariomycetes	Xylariales	Sporocadaceae	Seiridium	b76b64ea7ca11812ee5f314718a74553	374
375	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	b7895ac4781c5efd0063ecd78e91cd17	375
376	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Neosulcatispora	b93d7ccf31e8b6085340c35662dd05bc	376
377	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	bae5f35c0867e8414428208bae9c8344	377
378	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales	Pleosporales	bb3c54e352458656e4ceb986271377c8	378
379	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Didymellaceae	bc4ebbf383ad4354b048f36432ecc8e2	379
380	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	bc6852222491e29991cf0f8881817212	380
381	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	bd6feb8f8d57429d4a68c5ab50b6d510	381
382	Fungi	Ascomycota	Sordariomycetes	Xylariales	Microdochiaceae	Microdochium	bd72fa6be1e9bb3757715d9dbab8d5ba	382
383	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Parastagonospora	befd2f4ad2575d53f36d0a334112a95c	383
384	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Neoascochyta	bf94694723841ac55ac0a120c4dd67dd	384
385	Fungi	Basidiomycota	Exobasidiomycetes	Exobasidiales	Brachybasidiaceae	Meira	c115bb4bbe340a98916b2f7bf44e9e18	385
386	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodotorula	c1696768f1fb5f80b94fbf0d4b825bc0	386
387	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Cryphonectriaceae	Chrysofolia	c1f1f2f0271f79a1ab5f79751fe6e057	387
388	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Curvularia	c22dd2b34f94c2e25adaa4cc7ab2eb6c	388
