abundance,AverageShortestPathLength,Betweenness Dir,BetweennessCentrality,Bridging Dir,Centroid Dir,Class,Closeness Dir,ClosenessCentrality,ClusteringCoefficient,degree,Eccentricity,Eccentricity Dir,EdgeCount,EigenVector Dir,Family,Genus,Indegree,IsSingleNode,Kingdom,Label,MCODE::Clusters (1),MCODE::Node Status (1),MCODE::Score (1),name,negdegree,NeighborhoodConnectivity,Order,oriID,Outdegree,PartnerOfMultiEdgedNodePairs,phylum,posdegree,samplecount,selected,SelfLoops,shared name,Species,Stress,unknowndegree
515,1,0,0,0,-1,Dothideomycetes,1,1,0,1,1,1,1,0.049119925,Phaeosphaeriaceae,Phaeosphaeria,0,FALSE,Fungi,401,,Unclustered,0,401,0,1,Pleosporales,401,1,0,Ascomycota,1,2,FALSE,0,401,ac95b25e6a315d8d49897fcd6fa4f4fc,0,0
382,0,0,0,0,0,Gammaproteobacteria,0,0,0,1,0,0,1,2.24E-16,Pseudomonadaceae,Pseudomonas,1,FALSE,Bacteria,16,,Unclustered,0,16,0,1,Pseudomonadales,16,0,0,Proteobacteria,1,4,FALSE,0,16,1bc599cac5647c5c30496e93ca551557,0,0
1903,1,0,0,0,-1,Gammaproteobacteria,1,1,0,1,1,1,1,145.3933027,Erwiniaceae,Pantoea,0,FALSE,Bacteria,111,,Unclustered,0,111,0,1,Enterobacterales,111,1,0,Proteobacteria,1,4,FALSE,0,111,e3f299a4683dc6edb6ed01b5a58e7c05,0,0
627,0,0,0,0,0,Eurotiomycetes,0,0,0,1,0,0,1,-0.014388041,Trichocomaceae,Talaromyces,1,FALSE,Fungi,490,,Unclustered,0,490,0,2,Eurotiales,490,0,0,Ascomycota,1,2,FALSE,0,490,e7b4389ed2cd89486adc46537773de24,0,0
547,0,0,0,0,0,Tremellomycetes,0,0,0,1,0,0,1,1.16E-14,Trimorphomycetaceae,Saitozyma,1,FALSE,Fungi,300,,Unclustered,0,300,0,2,Tremellales,300,0,0,Basidiomycota,1,2,FALSE,0,300,687466c5de3b0b398cb82aa1b83d2042,0,0
916,1.5,0,0,0,-2,Dothideomycetes,1.5,0.666666667,0,1,2,0.5,1,-5.122317879,Phaeosphaeriaceae,Phaeosphaeriaceae,0,FALSE,Fungi,366,,Unclustered,0,366,0,4,Pleosporales,366,1,0,Ascomycota,1,2,FALSE,0,366,930b0f23265ac219e0996b2c9797b611,0,0
1932,0,0,0,0,0,Dothideomycetes,0,0,0,1,0,0,1,1.65E-14,Cladosporiaceae,Toxicocladosporium,1,FALSE,Fungi,235,,Unclustered,0,235,0,1,Capnodiales,235,0,0,Ascomycota,1,3,FALSE,0,235,40441a4baddd46634068c4c74416d30a,0,0
208,1,0,0,0,-1,Gammaproteobacteria,1,1,0,1,1,1,1,-0.001379464,Enterobacterales,Enterobacterales,0,FALSE,Bacteria,22,,Unclustered,0,22,0,1,Enterobacterales,22,1,0,Proteobacteria,1,2,FALSE,0,22,3b94c19ef326eea0918e1c3d244c999c,0,0
615,0,0,0,0,0,Dothideomycetes,0,0,0,1,0,0,1,4.37E-14,Pleosporales,Pleosporales,1,FALSE,Fungi,458,,Unclustered,0,458,0,1,Pleosporales,458,0,0,Ascomycota,1,3,FALSE,0,458,cd00c95f9ac8308184740839c57299b8,0,0
422,1,0,0,0,-1,Tremellomycetes,1,1,0,1,1,1,1,10.20373744,Bulleribasidiaceae,Dioszegia,0,FALSE,Fungi,293,,Unclustered,0,293,0,1,Tremellales,293,1,0,Basidiomycota,1,4,FALSE,0,293,63315816bf55bcb7d6bf25bf176baec3,0,0
323,0,0,0,0,0,Sordariomycetes,0,0,0.5,2,0,0,2,7.07E-14,Trichosphaeriaceae,Nigrospora,2,FALSE,Fungi,212,Cluster 8,Clustered,2,212,0,2,Trichosphaeriales,212,0,0,Ascomycota,2,2,FALSE,0,212,361bd4292fa0ec693503036c2cd80dcd,0,0
4337,0,0,0,0,0,Eurotiomycetes,0,0,0,1,0,0,1,-1.00E-15,Trichomeriaceae,Trichomeriaceae,1,FALSE,Fungi,404,,Unclustered,0,404,0,1,Chaetothyriales,404,0,0,Ascomycota,1,3,FALSE,0,404,ae052f9ffd283c4c79803702769af477,0,0
2798,1,0,0,0,-1,Gammaproteobacteria,1,1,0,1,1,1,1,-24.29108761,Pseudomonadaceae,Pseudomonas,0,FALSE,Bacteria,49,,Unclustered,0,49,0,1,Pseudomonadales,49,1,0,Proteobacteria,1,2,FALSE,0,49,76b1b4d218aec6c427e56bdc152f5e34,0,0
2696,0,0,0,0,0,Sordariomycetes,0,0,0,1,0,0,1,-1.51E-15,Sporocadaceae,Pestalotiopsis,1,FALSE,Fungi,179,,Unclustered,0,179,0,1,Xylariales,179,0,0,Ascomycota,1,2,FALSE,0,179,20fd91effed23d32210f8eab1ab2e94c,0,0
856,1,0,0,0,-1,Gammaproteobacteria,1,1,0,1,1,1,1,10.69549491,Erwiniaceae,Pantoea,0,FALSE,Bacteria,102,,Unclustered,0,102,0,1,Enterobacterales,102,1,0,Proteobacteria,1,2,FALSE,0,102,cc761daf51f27c423da57f3f1f0ff5cc,0,0
716,0,0,0,0,0,Cystobasidiomycetes,0,0,0,1,0,0,1,1.51E-15,Symmetrosporaceae,Symmetrospora,1,FALSE,Fungi,456,,Unclustered,0,456,0,1,Cystobasidiomycetes_ord_Incertae_sedis,456,0,0,Basidiomycota,1,2,FALSE,0,456,cca54f9cae9ecb4a1fc62bc5ea92e8f6,0,0
545,1,0,0,0,-1,Dothideomycetes,1,1,0,1,1,1,1,-0.918817966,Didymellaceae,Didymellaceae,0,FALSE,Fungi,345,,Unclustered,0,345,0,1,Pleosporales,345,1,0,Ascomycota,1,2,FALSE,0,345,880885f11fc72fa60a22e8ef408239e4,0,0
423,1,0,0,0,-1,Tremellomycetes,1,1,0,1,1,1,1,-0.154278589,Filobasidiaceae,Filobasidium,0,FALSE,Fungi,229,,Unclustered,0,229,0,2,Filobasidiales,229,1,0,Basidiomycota,1,3,FALSE,0,229,3ce5e8e3606084162a716bf116c5df3e,0,0
755,0,0,0,0,0,Dothideomycetes,0,0,0,1,0,0,1,-1.42E-13,Teratosphaeriaceae,Xenoteratosphaeria,1,FALSE,Fungi,328,,Unclustered,0,328,0,1,Capnodiales,328,0,0,Ascomycota,1,3,FALSE,0,328,7afb5648c0b81c2c10d5072fe2acf075,0,0
843,1,0,0,0,-1,Tremellomycetes,1,1,0,1,1,1,1,0.357691471,Bulleribasidiaceae,Hannaella,0,FALSE,Fungi,336,,Unclustered,0,336,0,1,Tremellales,336,1,0,Basidiomycota,1,4,FALSE,0,336,82ba2c9dcc4f9cb6e18d672c5720da0f,0,0
351,0,0,0,0,0,Exobasidiomycetes,0,0,0,1,0,0,1,0.581457857,Quambalariaceae,Quambalaria,1,FALSE,Fungi,289,,Unclustered,0,289,0,3,Microstromatales,289,0,0,Basidiomycota,1,3,FALSE,0,289,610e947f8b18cdd8d9348138281e7096,0,0
474,0,0,0,0,0,Sordariomycetes,0,0,0,1,0,0,1,-4.49E-15,Sporocadaceae,Seiridium,1,FALSE,Fungi,196,,Unclustered,0,196,0,3,Xylariales,196,0,0,Ascomycota,1,2,FALSE,0,196,2b5130f061d8aa00794cf4fc19cd4c07,0,0
623,1,3,0.404761905,0.666666667,-2,Sordariomycetes,2,1,0.166666667,3,1,1,3,0.581457857,Diaporthaceae,Diaporthe,1,FALSE,Fungi,495,,Unclustered,2,495,0,3,Diaporthales,495,2,0,Ascomycota,3,4,FALSE,0,495,e9702432f16b2c3c6cbc6b35135ef7aa,17,0
333,1,1,0.095238095,0.857142857,-1,Gammaproteobacteria,1,1,0,2,1,1,2,-1,Xanthomonadaceae,Xanthomonadaceae,1,FALSE,Bacteria,48,,Unclustered,0.666666667,48,0,3.5,Xanthomonadales,48,1,0,Proteobacteria,2,2,FALSE,0,48,75cfc53ad43494005052731091688e9b,4,0
