"cooc_method","Edge Betweenness Dir","interaction","interactionType","Label","method_number","method_scores","methodname_score","name","pval","qval","selected","shared interaction","shared name","weight"
"correl_pearson|dist_bray","434.0",,"copresence","243->709","2","0.0","","243->709","0.0","0.0","false",,"243->709","2.0"
"correl_pearson|dist_bray","361.0",,"copresence","545->678","2","0.0|0.02846975","","545->678","0.0","0.0","false",,"545->678","2.0"
"correl_pearson|dist_bray","464.0",,"copresence","458->639","2","0.0","","458->639","0.0","0.0","false",,"458->639","2.0"
"correl_pearson|dist_bray","4.0",,"copresence","747->435","2","0.0|0.9999999999999992","","747->435","0.0","0.0","false",,"747->435","2.0"
"correl_pearson|dist_bray","346.0",,"copresence","435->709","2","0.0","","435->709","0.0","0.0","false",,"435->709","2.0"
"correl_pearson|dist_bray","71.0",,"copresence","207->545","2","0.0|0.02846975","","207->545","0.0","0.0","false",,"207->545","2.0"
"correl_pearson|dist_bray","125.0",,"copresence","458->638","2","0.0","","458->638","0.0","0.0","false",,"458->638","2.0"
"correl_pearson|dist_bray","45.0",,"copresence","545->671","2","0.0|0.02846975","","545->671","0.0","0.0","false",,"545->671","2.0"
"correl_pearson|dist_bray","32.0",,"copresence","289->441","2","0.0","","289->441","0.0","0.0","false",,"289->441","2.0"
"correl_pearson|dist_bray","8.0",,"copresence","741->243","2","0.9999555021154546|0.00934579","","741->243","0.0","0.0","false",,"741->243","2.0"
"correl_pearson|dist_bray","8.0",,"copresence","198->439","2","0.0|0.03719912","","198->439","0.0","0.0","false",,"198->439","2.0"
"correl_pearson|dist_bray","13.0",,"copresence","639->709","2","0.0","","639->709","0.0","0.0","false",,"639->709","2.0"
"correl_pearson|dist_bray","232.0",,"copresence","323->709","2","0.0","","323->709","0.0","0.0","false",,"323->709","2.0"
"correl_pearson|dist_bray","7.0",,"copresence","747->517","2","0.9995147251531786|0.04251386","","747->517","0.0","0.0","false",,"747->517","2.0"
"correl_pearson|dist_bray","11.0",,"copresence","545->243","2","0.9995706041345304|0.02846975","","545->243","0.0","0.0","false",,"545->243","2.0"
"correl_pearson|dist_bray","6016.0",,"copresence","501->678","2","0.0","","501->678","0.0","0.0","false",,"501->678","2.0"
"correl_pearson|dist_bray","14.0",,"copresence","450->545","2","0.0|0.02846975","","450->545","0.0","0.0","false",,"450->545","2.0"
"correl_pearson|dist_bray","4.0",,"copresence","357->439","2","0.0|0.03719912","","357->439","0.0","0.0","false",,"357->439","2.0"
"correl_pearson|dist_bray","5.0",,"copresence","637->243","2","0.0|0.9999999999999962","","637->243","0.0","0.0","false",,"637->243","2.0"
"correl_pearson|dist_bray","6.0",,"copresence","357->344","2","0.0|1.0","","357->344","0.0","0.0","false",,"357->344","2.0"
"correl_pearson|dist_bray","143.0",,"copresence","435->517","2","0.0|0.04251386","","435->517","0.0","0.0","false",,"435->517","2.0"
