539c5891ed7bc2e1c5b533b4b28a3b6b	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Acetobacterales	Acetobacteraceae	Acetobacteraceae
5507e6838cdaa90155e509d88b1ce933	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Acetobacterales	Acetobacteraceae	Acetobacteraceae
55a24667378ae55c92ecdb9f45990a9f	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Acetobacterales	Acetobacteraceae	Acetobacteraceae
5fae1c1a9a741c3b5ed5286afbb0de53	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Acetobacterales	Acetobacteraceae	Acetobacteraceae
613f836c4e916a4e80a43fa900173636	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Acetobacterales	Acetobacteraceae	Acetobacteraceae
613fa7e301682385a01a3ba42012899d	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Acetobacterales	Acetobacteraceae	Acetobacteraceae
616a2b7f29cebc02c036a74f8cc4ab20	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Acetobacterales	Acetobacteraceae	Acetobacteraceae
6457c5bbeeabb634185e5f3645354fb7	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Acetobacterales	Acetobacteraceae	Acetobacteraceae
6469fd883454e0f6625b2b7b3826aac8	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Acetobacterales	Acetobacteraceae	Acetobacteraceae
65bb8d6910140d33f7e4afae5ed4331f	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Acetobacterales	Acetobacteraceae	Acetobacteraceae
675e006c5491c95317087e5300a8a88a	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Acetobacterales	Acetobacteraceae	Acetobacteraceae
6939738985f86b69f1ffa56df865fbb9	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Acetobacterales	Acetobacteraceae	Acetobacteraceae
6f4f016a500401be5625bbab7a0a7b7b	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Acetobacterales	Acetobacteraceae	Acetobacteraceae
703bd263637bdfbaba723493847760cd	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Acetobacterales	Acetobacteraceae	Acetobacteraceae
715d06a2a8c5351f637685e3aa46d866	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Acetobacterales	Acetobacteraceae	Acetobacteraceae
73005b56164dfa303345c20092d81a75	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Acetobacterales	Acetobacteraceae	Acetobacteraceae
7368fad42ebe6131ef43f6cecd4d45ac	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Acetobacterales	Acetobacteraceae	Acetobacteraceae
756a104319bc32ded829fa5de52d5a86	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Acetobacterales	Acetobacteraceae	Acetobacteraceae
783620f310b05e480ee7c64c16e3e23e	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Acetobacterales	Acetobacteraceae	Acetobacteraceae
79130dc042750f2f6913042370b07871	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Acetobacterales	Acetobacteraceae	Acetobacteraceae
7b154d8123d72a8cc21a98257210203b	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Acetobacterales	Acetobacteraceae	Acetobacteraceae
7b6442d23711d3d770b5482e2642160f	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Acetobacterales	Acetobacteraceae	Acetobacteraceae
7bdd526e6a7bdb8bc30b4b594bf86aca	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Acetobacterales	Acetobacteraceae	Acetobacteraceae
7c80a95ed62edc73cee889fee7b20de5	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Acetobacterales	Acetobacteraceae	Acetobacteraceae
7df793c9c6ba26f76d9f1da9d4641a55	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Acetobacterales	Acetobacteraceae	Acetobacteraceae
7eace0a73c2a97c399aa3b2fd1a4dcdd	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Acetobacterales	Acetobacteraceae	Acetobacteraceae
7f67246bb3fe806e76da29782858a058	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Acetobacterales	Acetobacteraceae	Acetobacteraceae
7fcb19b9e066e6fcbced211b2601e844	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Acetobacterales	Acetobacteraceae	Acetobacteraceae
836499f3cd0d09680588138590b27cf1	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Acetobacterales	Acetobacteraceae	Acetobacteraceae
844aa040bba98ae466d7818caf15ea45	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Acetobacterales	Acetobacteraceae	Acetobacteraceae
862339d9dd15d2bdbf4099fc9dc3628d	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Acetobacterales	Acetobacteraceae	Acetobacteraceae
8fccca5874891586a0d38c271949bf41	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Acetobacterales	Acetobacteraceae	Acetobacteraceae
90a1d8911df95948b6c7c4162b7319db	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Acetobacterales	Acetobacteraceae	Acetobacteraceae
9463c365a8f7293a30c57f9476067f9c	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Acetobacterales	Acetobacteraceae	Acetobacteraceae
