Sample	SampleID	PCR_Control	Extract_Control	Source	Site	Region	SiteType	Host_SiteType	Host_Region	SiteType_Site		SitePair
S152_NSW1092926_FWD15	S152_NSW1092926_FWD15	FALSE	FALSE	Themeda_triandra	Duesburys_Point_Dalmeny	South_Coast	Natural	Themeda_triandra_Restored	Themeda_triandra_South_Coast	Natural_Duesburys_Point_Dalmeny		SitePair18
S153_NSW1092931_FWD15	S153_NSW1092931_FWD15	FALSE	FALSE	Themeda_triandra	Duesburys_Point_Dalmeny	South_Coast	Natural	Themeda_triandra_Restored	Themeda_triandra_South_Coast	Natural_Duesburys_Point_Dalmeny		SitePair18
S199_NSW1092638_FWD11	S199_NSW1092638_FWD11	FALSE	FALSE	Microlaena_stipoides	Elizabeth_Macarthur_Reserve_Camden	Sydney	Restored	Microlaena_stipoides_Restored	Microlaena_stipoides_Sydney	Restored_Elizabeth_Macarthur_Reserve_Camden		SitePair9
S200_NSW1092639_FWD11	S200_NSW1092639_FWD11	FALSE	FALSE	Microlaena_stipoides	Elizabeth_Macarthur_Reserve_Camden	Sydney	Restored	Microlaena_stipoides_Restored	Microlaena_stipoides_Sydney	Restored_Elizabeth_Macarthur_Reserve_Camden		SitePair9
S201_NSW1092640_FWD11	S201_NSW1092640_FWD11	FALSE	FALSE	Microlaena_stipoides	Elizabeth_Macarthur_Reserve_Camden	Sydney	Restored	Microlaena_stipoides_Restored	Microlaena_stipoides_Sydney	Restored_Elizabeth_Macarthur_Reserve_Camden		SitePair9
S202_NSW1092643_FWD11	S202_NSW1092643_FWD11	FALSE	FALSE	Microlaena_stipoides	Elizabeth_Macarthur_Reserve_Camden	Sydney	Restored	Microlaena_stipoides_Restored	Microlaena_stipoides_Sydney	Restored_Elizabeth_Macarthur_Reserve_Camden		SitePair9
S203_NSW1092649_FWD11	S203_NSW1092649_FWD11	FALSE	FALSE	Microlaena_stipoides	Elizabeth_Macarthur_Reserve_Camden	Sydney	Restored	Microlaena_stipoides_Restored	Microlaena_stipoides_Sydney	Restored_Elizabeth_Macarthur_Reserve_Camden		SitePair9
S204_NSW1092644_FWD11	S204_NSW1092644_FWD11	FALSE	FALSE	Microlaena_stipoides	Elizabeth_Macarthur_Reserve_Camden	Sydney	Restored	Microlaena_stipoides_Restored	Microlaena_stipoides_Sydney	Restored_Elizabeth_Macarthur_Reserve_Camden		SitePair9
S205_NSW1092645_FWD11	S205_NSW1092645_FWD11	FALSE	FALSE	Microlaena_stipoides	Elizabeth_Macarthur_Reserve_Camden	Sydney	Restored	Microlaena_stipoides_Restored	Microlaena_stipoides_Sydney	Restored_Elizabeth_Macarthur_Reserve_Camden		SitePair9
S206_NSW1092648_FWD11	S206_NSW1092648_FWD11	FALSE	FALSE	Microlaena_stipoides	Elizabeth_Macarthur_Reserve_Camden	Sydney	Restored	Microlaena_stipoides_Restored	Microlaena_stipoides_Sydney	Restored_Elizabeth_Macarthur_Reserve_Camden		SitePair9
