	Kingdom	Phylum	Class	Order	Family	Genus	ASV	ASVNumber
282	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Epicoccum	5fe5f08bf237874637a1235c88d32fb6	282
283	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeosphaeriaceae	604428c5fd6f5e5bed02ef57cf8a739a	283
284	Fungi	Basidiomycota	Exobasidiomycetes	Microstromatales	Quambalariaceae	Quambalaria	610e947f8b18cdd8d9348138281e7096	284
285	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Didymosphaeriaceae	617906066bf52caf109445c8ea9e7425	285
286	Fungi	Ascomycota	Eurotiomycetes	Phaeomoniellales	Phaeomoniellaceae	Neophaeomoniella	61e6801f34294446f7f2cf697c50229a	286
287	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Diaporthaceae	Diaporthe	6242d3df412ba09ab59bf151f5a1248c	287
288	Fungi	Ascomycota	Sordariomycetes	Xylariales	Microdochiaceae	Microdochium	62a862e5f36a215d63df1d18cfea9d6d	288
289	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Neosetophoma	632eec0976f4c6c946cd618ee7e4ab74	289
290	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Trichomonascaceae	Trichomonascaceae	63734e91a3d839601f1a3896a69e5ed8	290
291	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaetopsis	64190f323bd4b6d7dbdd8fb50eca6c66	291
292	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	64baab047eb4a6461508f190f08d38b3	292
293	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Valsaceae	Valsa	66b09181fa15f98369e57d16b86572e0	293
294	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Hannaella	6830d38a9de8b1b4d97da51e7bf439cd	294
295	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Lophiostoma	6933f7284435764f9fa7a77ba442eac4	295
